Id,StreetAddress,City,State,ZipCode
542,56452 Surrey Plaza,Van Nuys,California,18048
543,19052 Delaware Place,New Orleans,Louisiana,68978
544,21 Golden Leaf Junction,South Bend,Indiana,55968
545,5894 Memorial Parkway,Miami,Florida,68807
546,45 Pawling Point,Richmond,Virginia,55578
547,8370 Granby Pass,Springfield,Illinois,49515
548,00453 Buhler Parkway,Syracuse,New York,31928
549,393 Troy Pass,Albany,New York,28340
550,54765 Dexter Center,Houston,Texas,63284
551,907 Lien Lane,Indianapolis,Indiana,35823
552,4443 Melby Plaza,El Paso,Texas,63434
553,9054 Havey Crossing,Dallas,Texas,30110
554,42 Lakewood Circle,Bradenton,Florida,45189
555,43 Emmet Place,Kansas City,Missouri,66431
556,645 Pennsylvania Place,Duluth,Georgia,19296
557,19644 Arkansas Pass,Lafayette,Indiana,69433
558,24981 Killdeer Trail,Minneapolis,Minnesota,71787
559,5 Del Sol Avenue,Bonita Springs,Florida,77022
560,186 Northport Crossing,Detroit,Michigan,48403
561,4 Heath Street,Boca Raton,Florida,67187
562,74 American Ash Hill,Pinellas Park,Florida,83757
563,5298 Charing Cross Point,Portland,Oregon,29587
564,27244 Hauk Way,Anchorage,Alaska,77052
565,062 Sommers Plaza,Shreveport,Louisiana,88565
566,3295 Sage Plaza,Springfield,Illinois,28862
567,0581 Fairview Junction,Youngstown,Ohio,18602
568,676 Kingsford Place,Silver Spring,Maryland,87946
569,1 Knutson Avenue,Charlotte,North Carolina,65082
570,33 Vermont Pass,Fort Worth,Texas,13001
571,60141 Mcbride Plaza,Flint,Michigan,81455
572,42948 Ronald Regan Crossing,Birmingham,Alabama,57373
573,276 Center Junction,Saint Louis,Missouri,52233
574,2 Jana Point,Indianapolis,Indiana,35713
575,7642 Lillian Trail,Tampa,Florida,56240
576,1 Westend Street,Springfield,Illinois,74647
577,1951 Darwin Way,Kansas City,Missouri,72468
578,08531 Bellgrove Plaza,Chicago,Illinois,47634
579,7898 Kipling Lane,Syracuse,New York,98619
580,175 Hazelcrest Pass,Warren,Michigan,42489
581,6116 Basil Junction,Chesapeake,Virginia,31779
582,4 Sommers Point,Fresno,California,94112
583,9 Carey Terrace,Springfield,Illinois,52151
584,67 Utah Way,Topeka,Kansas,40457
585,58323 West Pass,Spokane,Washington,18584
586,79 Mosinee Center,Boston,Massachusetts,97652
587,519 Porter Hill,Asheville,North Carolina,78433
588,97152 Manufacturers Crossing,Farmington,Michigan,83674
589,68063 Towne Pass,Washington,District of Columbia,66718
590,74779 Arapahoe Junction,Green Bay,Wisconsin,95553
591,4753 Bowman Junction,Beaumont,Texas,67251
592,4 Sunbrook Plaza,Kansas City,Missouri,35796
593,727 Rusk Hill,Buffalo,New York,39512
594,69 Lawn Crossing,Memphis,Tennessee,72572
595,622 Chinook Park,Tulsa,Oklahoma,98932
596,616 Katie Center,Washington,District of Columbia,92369
597,7277 Warrior Pass,San Diego,California,64627
598,178 Mariners Cove Parkway,Rockford,Illinois,92625
599,36644 Quincy Street,Newark,New Jersey,48506
600,5 Harper Pass,Tampa,Florida,43418
601,70705 Union Avenue,New Orleans,Louisiana,51976
602,7 Grim Plaza,El Paso,Texas,54261
603,42977 Reinke Center,Duluth,Georgia,23809
604,24 Daystar Plaza,Port Washington,New York,71883
605,50 Sundown Drive,Fort Wayne,Indiana,68192
606,015 Welch Point,Louisville,Kentucky,91642
607,295 Larry Circle,Daytona Beach,Florida,78734
608,4502 Meadow Valley Center,Moreno Valley,California,80737
609,30381 Forest Run Hill,Hampton,Virginia,73005
610,2033 Pearson Hill,Trenton,New Jersey,19400
611,400 Eggendart Circle,Houston,Texas,66171
612,24 Pearson Place,Lexington,Kentucky,78771
613,942 David Parkway,Charlotte,North Carolina,19264
614,661 Sloan Circle,Jacksonville,Florida,75840
615,7 Mcbride Place,New York City,New York,74430
616,476 Meadow Vale Way,Jackson,Tennessee,78084
617,0 Pearson Crossing,Tyler,Texas,66400
618,1 Linden Street,Boston,Massachusetts,33700
619,05856 Calypso Terrace,Irvine,California,85701
620,9005 Clemons Street,Newton,Massachusetts,76176
621,2302 Service Alley,Wilkes Barre,Pennsylvania,94647
622,9617 Evergreen Crossing,Mobile,Alabama,41014
623,93980 Weeping Birch Hill,Raleigh,North Carolina,27975
624,90 Warner Place,Silver Spring,Maryland,50865
625,94 Dorton Alley,Great Neck,New York,33815
626,9 Gulseth Road,Dearborn,Michigan,68435
627,020 Oriole Road,Atlanta,Georgia,97869
628,47 Clove Point,Pompano Beach,Florida,35521
629,9 Arrowood Park,Winston Salem,North Carolina,55569
630,335 Clemons Pass,Washington,District of Columbia,47920
631,861 Oriole Road,Jackson,Mississippi,97070
632,373 Raven Street,Saint Joseph,Missouri,85534
633,6 Elka Park,San Diego,California,16031
634,78557 Lien Avenue,Syracuse,New York,22329
635,59 Hooker Hill,Philadelphia,Pennsylvania,55421
636,0 School Crossing,Laurel,Maryland,85030
637,01 Troy Drive,Topeka,Kansas,38820
638,67 Bonner Drive,Charlottesville,Virginia,98633
639,1396 Pierstorff Way,Los Angeles,California,41754
640,29 Stephen Street,Saint Paul,Minnesota,65281
641,0303 Alpine Avenue,Denton,Texas,65887
642,625 Thierer Place,Saint Louis,Missouri,23408
643,59 Eastwood Place,Baltimore,Maryland,27112
644,6 Mandrake Parkway,Baton Rouge,Louisiana,10471
645,249 American Ash Way,Brooksville,Florida,20270
646,33 Eagle Crest Junction,Des Moines,Iowa,66181
647,845 Mosinee Trail,Fort Lauderdale,Florida,16370
648,61 Sachs Circle,Lansing,Michigan,96464
649,779 Annamark Crossing,San Jose,California,22104
650,85187 Shelley Pass,Memphis,Tennessee,22709
651,70 Towne Way,High Point,North Carolina,84943
652,653 American Ash Circle,Nashville,Tennessee,10651
653,273 Paget Trail,Birmingham,Alabama,86713
654,2527 Forest Dale Plaza,Saint Joseph,Missouri,50153
655,16720 Village Green Hill,Des Moines,Iowa,38175
656,9 Cardinal Terrace,Seattle,Washington,73779
657,01 Eastlawn Crossing,New Orleans,Louisiana,56640
658,209 Fieldstone Road,Washington,District of Columbia,89706
659,6788 Monument Pass,Kansas City,Missouri,72235
660,13300 Messerschmidt Plaza,Fresno,California,15704
661,111 Kedzie Pass,Phoenix,Arizona,17855
662,81837 Lyons Alley,Peoria,Arizona,73594
663,5 Vermont Park,Washington,District of Columbia,64644
664,87 Clarendon Crossing,Sacramento,California,68338
665,82 Maywood Park,Fort Worth,Texas,72533
666,4004 Bluejay Park,Washington,District of Columbia,76332
667,4093 Jay Parkway,High Point,North Carolina,32819
668,84 Barnett Terrace,Cambridge,Massachusetts,70358
669,2 Eagan Street,Lakewood,Washington,57706
670,70 Mandrake Place,Pensacola,Florida,24841
671,078 Farmco Junction,South Bend,Indiana,15265
672,13417 Declaration Road,Pittsburgh,Pennsylvania,84772
673,559 Schiller Terrace,Hartford,Connecticut,74126
674,06 Rieder Alley,Tyler,Texas,11993
675,5593 Hermina Crossing,Seattle,Washington,14907
676,75917 Northview Lane,Saint Louis,Missouri,62530
677,773 Goodland Road,Nashville,Tennessee,90991
678,6 Schlimgen Point,New York City,New York,65321
679,32265 Susan Park,El Paso,Texas,79518
680,588 Barnett Park,Albuquerque,New Mexico,99124
681,26300 Boyd Circle,El Paso,Texas,49719
682,10877 Corry Place,Delray Beach,Florida,21048
683,58 Helena Drive,Zephyrhills,Florida,52726
684,2 Dahle Crossing,Racine,Wisconsin,20606
685,6903 Longview Road,Waterbury,Connecticut,34897
686,09590 Myrtle Trail,Rochester,New York,67081
687,9095 Granby Point,Washington,District of Columbia,92946
688,5 Starling Way,Chesapeake,Virginia,48066
689,43286 Stephen Street,Aurora,Colorado,17806
690,03 Westridge Plaza,Austin,Texas,81579
691,698 International Plaza,Columbus,Ohio,19648
692,2 Caliangt Point,Chesapeake,Virginia,94998
693,08 Delladonna Crossing,Green Bay,Wisconsin,33255
694,05972 Autumn Leaf Lane,Houston,Texas,17470
695,160 Luster Court,Jamaica,New York,55708
696,1888 Reinke Way,New Haven,Connecticut,74204
697,23 Towne Court,San Jose,California,76658
698,165 Toban Park,New Orleans,Louisiana,37827
699,43 Southridge Plaza,Springfield,Illinois,45908
700,92718 Lyons Point,Oakland,California,43147
701,54563 Crescent Oaks Trail,Tucson,Arizona,10572
702,37276 Hudson Center,Palatine,Illinois,39006
703,90 Dakota Terrace,Kansas City,Kansas,27889
704,93088 Meadow Valley Place,San Francisco,California,82847
705,1777 Troy Place,Jacksonville,Florida,74545
706,29 Starling Avenue,Saint Paul,Minnesota,60542
707,945 Florence Junction,Memphis,Tennessee,94358
708,3881 Di Loreto Center,Spring,Texas,49296
709,6 Graceland Parkway,Charleston,West Virginia,62893
710,5267 School Alley,Newark,New Jersey,33737
711,1 Chive Junction,Kansas City,Missouri,41648
712,31234 Buhler Trail,Honolulu,Hawaii,55080
713,0562 Mallard Way,Honolulu,Hawaii,81884
714,121 Heffernan Center,Garden Grove,California,86118
715,910 Warbler Terrace,Buffalo,New York,22747
716,7529 Troy Park,Shreveport,Louisiana,43547
717,45722 Manitowish Way,Trenton,New Jersey,90085
718,7052 Lotheville Plaza,Woburn,Massachusetts,77248
719,8976 Gale Point,Salt Lake City,Utah,98097
720,64 Nancy Way,Houston,Texas,19978
721,7 Nova Center,Brockton,Massachusetts,62165
722,2 Straubel Way,Birmingham,Alabama,75559
723,4 Monica Plaza,West Palm Beach,Florida,26428
724,18336 Maple Wood Drive,Huntsville,Alabama,13780
725,759 Boyd Junction,Gainesville,Georgia,18074
726,99 Gulseth Terrace,Shawnee Mission,Kansas,15310
727,5490 Hauk Avenue,Fort Wayne,Indiana,74488
728,8496 Hooker Center,West Palm Beach,Florida,79610
729,63946 Sunbrook Junction,Tulsa,Oklahoma,63500
730,0 Wayridge Crossing,Richmond,Virginia,93118
731,0 Basil Hill,Mobile,Alabama,86492
732,723 Hayes Plaza,Sioux Falls,South Dakota,88286
733,40 Crescent Oaks Crossing,Appleton,Wisconsin,65158
734,312 Stang Road,Chicago,Illinois,44335
735,85460 Havey Terrace,Hamilton,Ohio,19484
736,7650 Swallow Junction,Topeka,Kansas,95187
737,81 Kings Drive,Shreveport,Louisiana,86757
738,3914 Spohn Alley,Fort Myers,Florida,49675
739,3645 Basil Alley,Peoria,Illinois,60273
740,96926 Moland Drive,Charlottesville,Virginia,31773
741,12 Prairieview Lane,Hampton,Virginia,67977
742,56 Vermont Street,Young America,Minnesota,49207
743,866 Carpenter Crossing,Sterling,Virginia,83955
744,7 Luster Parkway,Daytona Beach,Florida,97279
745,860 Claremont Plaza,Clearwater,Florida,89645
746,9 Buell Circle,Oklahoma City,Oklahoma,36190
747,347 Little Fleur Park,Las Vegas,Nevada,89767
748,80137 Summer Ridge Place,Jacksonville,Florida,51664
749,75 Beilfuss Center,New York City,New York,87495
750,2 Iowa Center,Shawnee Mission,Kansas,62157
751,3183 Gerald Park,Santa Barbara,California,26620
752,86 Ryan Center,Charlotte,North Carolina,94146
753,2689 Merry Alley,Houston,Texas,23024
754,1424 Springs Street,Portland,Oregon,61666
755,7796 Emmet Alley,Buffalo,New York,22675
756,64515 Glendale Junction,Albany,New York,43942
757,788 School Parkway,Amarillo,Texas,69500
758,94 Fairview Lane,San Francisco,California,44024
759,69 Artisan Street,Colorado Springs,Colorado,35795
760,948 Shoshone Hill,San Antonio,Texas,16229
761,41 Maryland Trail,Miami,Florida,37039
762,4 Hauk Center,New York City,New York,99470
763,5069 Armistice Trail,Inglewood,California,29693
764,0308 Gerald Place,Huntington,West Virginia,21017
765,8267 Kim Parkway,Santa Fe,New Mexico,75362
766,43502 Sachs Pass,Salem,Oregon,70501
767,1 Dahle Court,Minneapolis,Minnesota,35254
768,92323 Village Green Way,Stamford,Connecticut,40891
769,10278 Farwell Road,Honolulu,Hawaii,86811
770,25930 Johnson Park,Pueblo,Colorado,70551
771,6 Northland Junction,Lake Worth,Florida,98772
772,097 Cascade Trail,Portsmouth,Virginia,22473
773,3 Elka Court,San Luis Obispo,California,19173
774,99 Laurel Way,South Bend,Indiana,23495
775,8 Division Parkway,Baltimore,Maryland,32774
776,7 Brown Hill,Austin,Texas,45329
777,9 Westerfield Court,Davenport,Iowa,29502
778,36526 Laurel Place,Mobile,Alabama,68449
779,61 Ludington Drive,Orlando,Florida,40710
780,1 Milwaukee Park,Charlotte,North Carolina,33368
781,82 Jana Place,Mesa,Arizona,87800
782,197 Manufacturers Place,Montgomery,Alabama,65140
783,965 Del Sol Pass,Oklahoma City,Oklahoma,20511
784,14 Petterle Lane,Marietta,Georgia,20519
785,3600 Knutson Center,Largo,Florida,46326
786,3 Hoard Place,Las Vegas,Nevada,89908
787,7 Mesta Alley,Pittsburgh,Pennsylvania,43378
788,8882 Morrow Street,Kansas City,Missouri,97503
789,2 Mariners Cove Alley,Chattanooga,Tennessee,33928
790,352 Bowman Court,Pasadena,California,62191
791,32 Sloan Lane,Santa Fe,New Mexico,60649
792,3 Red Cloud Plaza,Duluth,Georgia,76677
793,285 Drewry Street,Hartford,Connecticut,84130
794,938 Heath Place,Arlington,Texas,73342
795,45506 Clove Crossing,Denver,Colorado,37964
796,0 Chive Center,Bellevue,Washington,62362
797,97 Lighthouse Bay Crossing,Pompano Beach,Florida,26753
798,47 Lighthouse Bay Parkway,Spartanburg,South Carolina,96998
799,18 Dahle Point,Orange,California,33606
800,7 Main Park,Spring,Texas,21338
801,07035 Carpenter Place,Pittsburgh,Pennsylvania,90762
802,2136 Steensland Pass,Santa Cruz,California,63958
803,27 Merrick Trail,Lexington,Kentucky,57424
804,99 Sunfield Park,Pensacola,Florida,31091
805,6 Golf Avenue,San Antonio,Texas,78998
806,49099 Carioca Road,Lansing,Michigan,61853
807,9 Maryland Hill,Norfolk,Virginia,41343
808,190 Hallows Terrace,Naperville,Illinois,20520
809,6 Katie Center,Peoria,Illinois,33338
810,295 Commercial Center,Cheyenne,Wyoming,32197
811,78102 Calypso Place,El Paso,Texas,86771
812,6254 Elmside Park,New York City,New York,85036
813,7 Northport Drive,North Little Rock,Arkansas,12506
814,28 Mayer Trail,Brockton,Massachusetts,11501
815,5697 Kennedy Parkway,Santa Fe,New Mexico,18586
816,385 Bashford Terrace,Fort Lauderdale,Florida,94431
817,7029 Upham Point,Huntington,West Virginia,33961
818,17549 Fulton Crossing,Washington,District of Columbia,78541
819,85292 Dawn Avenue,Las Vegas,Nevada,41147
820,96 Monument Avenue,Jackson,Mississippi,49528
821,6 Emmet Trail,Charlotte,North Carolina,57164
822,305 Kinsman Circle,Boston,Massachusetts,50613
823,167 Loftsgordon Court,Minneapolis,Minnesota,88042
824,17 Pankratz Way,Seattle,Washington,52685
825,036 Hovde Court,Springfield,Massachusetts,93009
826,641 Brown Park,Buffalo,New York,56247
827,3544 Lyons Junction,Santa Ana,California,82805
828,9837 Scoville Drive,Phoenix,Arizona,76176
829,2855 Gina Plaza,Modesto,California,26573
830,8 Oriole Parkway,Aiken,South Carolina,69694
831,637 Rowland Alley,Hayward,California,31715
832,64 Graceland Crossing,Detroit,Michigan,24507
833,488 Vermont Way,Atlanta,Georgia,70763
834,910 Vermont Crossing,Knoxville,Tennessee,76284
835,6 Eliot Pass,San Francisco,California,92568
836,596 Browning Pass,Tampa,Florida,57680
837,3648 Manufacturers Drive,Charleston,West Virginia,81313
838,36518 Katie Hill,Hayward,California,50111
839,077 Ruskin Drive,Green Bay,Wisconsin,85268
840,94973 Maple Wood Park,Las Vegas,Nevada,13997
841,3 Grim Plaza,Tucson,Arizona,85429
842,704 Fieldstone Lane,Carson City,Nevada,69150
843,3780 Troy Way,Palmdale,California,55511
844,0834 7th Terrace,Indianapolis,Indiana,56492
845,9946 Macpherson Street,Tacoma,Washington,11123
846,09 Novick Circle,Frederick,Maryland,52638
847,97 Manley Drive,Aurora,Illinois,39572
848,11 Raven Lane,Tulsa,Oklahoma,86705
849,7 Lillian Junction,Detroit,Michigan,23222
850,3917 Monterey Street,Richmond,Virginia,26030
851,24 Waywood Place,Lexington,Kentucky,27317
852,2964 Carpenter Park,Philadelphia,Pennsylvania,72140
853,139 Carpenter Road,Honolulu,Hawaii,52863
854,73723 Hauk Crossing,Garland,Texas,41492
855,238 Utah Plaza,Ventura,California,22280
856,5 Crowley Pass,Jacksonville,Florida,67461
857,331 Comanche Lane,Jamaica,New York,43191
858,579 Cardinal Drive,Olympia,Washington,61911
859,25602 Westport Drive,Atlanta,Georgia,70655
860,8 Hollow Ridge Alley,South Bend,Indiana,94524
861,8151 Erie Center,Littleton,Colorado,15546
862,2810 Lakewood Parkway,Lexington,Kentucky,75328
863,7578 Lighthouse Bay Crossing,Wilkes Barre,Pennsylvania,49501
864,20037 Ronald Regan Circle,Tulsa,Oklahoma,94138
865,432 Myrtle Court,Waltham,Massachusetts,70797
866,9368 Jay Circle,Austin,Texas,54045
867,87206 Evergreen Court,Louisville,Kentucky,38518
868,4918 Buell Junction,College Station,Texas,27498
869,65 Prentice Terrace,Hollywood,Florida,16737
870,9956 Karstens Plaza,Hampton,Virginia,49176
871,0053 Waubesa Park,Metairie,Louisiana,43665
872,8926 Mariners Cove Circle,Metairie,Louisiana,63760
873,73 Sage Way,Peoria,Illinois,68153
874,206 Ronald Regan Parkway,Juneau,Alaska,13455
875,92 Emmet Point,Springfield,Missouri,37370
876,8 Golden Leaf Lane,El Paso,Texas,49151
877,0 Hagan Hill,Long Beach,California,36353
878,4 Luster Park,Gastonia,North Carolina,12202
879,47989 Vera Lane,Monticello,Minnesota,25075
880,4592 Graceland Terrace,Hartford,Connecticut,56457
881,956 Vermont Avenue,Pueblo,Colorado,81503
882,051 Prairieview Plaza,Glendale,California,98423
883,1 Knutson Terrace,Anaheim,California,32339
884,40757 Green Ridge Hill,Houston,Texas,23116
885,02192 Spohn Trail,Kansas City,Missouri,71677
886,508 Glendale Center,Duluth,Minnesota,93718
887,5822 Farmco Parkway,Erie,Pennsylvania,50579
888,63 Vera Hill,Las Vegas,Nevada,43294
889,1061 Heath Avenue,Colorado Springs,Colorado,31323
890,5562 Carioca Plaza,Chicago,Illinois,96252
891,7 Bartillon Plaza,Dallas,Texas,88934
892,7157 Novick Alley,Colorado Springs,Colorado,20687
893,92704 Messerschmidt Road,San Antonio,Texas,57226
894,092 Wayridge Trail,Nashville,Tennessee,79547
895,14145 Main Court,Pasadena,California,47648
896,87232 Ilene Avenue,Brooklyn,New York,50283
897,1120 Fairview Drive,Buffalo,New York,41506
898,90122 Graedel Parkway,Miami,Florida,51071
899,587 Russell Alley,San Francisco,California,19168
900,4 Sugar Junction,Washington,District of Columbia,13845
901,2913 Thompson Court,Houston,Texas,41273
902,3642 Upham Terrace,Charlotte,North Carolina,93284
903,7 Summer Ridge Way,Washington,District of Columbia,67945
904,536 Graedel Road,Nashville,Tennessee,48463
905,75 Hayes Hill,Gatesville,Texas,93845
906,649 Transport Center,Dallas,Texas,93869
907,467 Morning Center,Santa Barbara,California,12583
908,735 Mcguire Court,Charlotte,North Carolina,27477
909,8451 Tomscot Center,Erie,Pennsylvania,30175
910,6718 Elmside Lane,Las Vegas,Nevada,21453
911,0328 Vernon Place,Columbia,South Carolina,18997
912,396 Bowman Trail,Rochester,New York,54890
913,36755 Stang Place,San Diego,California,94288
914,348 Aberg Lane,Anniston,Alabama,55484
915,260 Green Ridge Circle,Gastonia,North Carolina,99542
916,40115 Longview Junction,Houston,Texas,97970
917,19470 Thompson Avenue,Saint Louis,Missouri,22664
918,63912 Stoughton Circle,Anaheim,California,12479
919,9 Spaight Way,Fort Lauderdale,Florida,12719
920,1 Saint Paul Pass,Stamford,Connecticut,86641
921,67 Kropf Drive,Honolulu,Hawaii,37601
922,32 Monica Junction,Peoria,Illinois,26399
923,486 Claremont Lane,Elmira,New York,76279
924,423 Johnson Trail,Albany,New York,89476
925,54545 Mandrake Park,Phoenix,Arizona,95651
926,3 Lyons Drive,Anderson,South Carolina,42973
927,9 Dottie Terrace,Madison,Wisconsin,27198
928,59 Killdeer Park,Los Angeles,California,43079
929,1641 Meadow Vale Avenue,Brooklyn,New York,43994
930,01848 Onsgard Avenue,Lexington,Kentucky,24752
931,54349 Merry Court,Jeffersonville,Indiana,91226
932,274 Arizona Street,Los Angeles,California,83821
933,2 Fieldstone Alley,San Diego,California,34975
934,320 Myrtle Alley,Tucson,Arizona,58881
935,12 Oneill Alley,San Angelo,Texas,46477
936,6 Ridgeview Drive,Jamaica,New York,23667
937,6 Dakota Hill,Washington,District of Columbia,70087
938,46 American Avenue,Fargo,North Dakota,30464
939,3 Lawn Pass,Washington,District of Columbia,85336
940,29 Eggendart Crossing,Chicago,Illinois,22086
941,86 Surrey Terrace,North Hollywood,California,41762
942,585 Spenser Point,Hagerstown,Maryland,77276
943,0198 Arapahoe Trail,Charlotte,North Carolina,76336
944,1 High Crossing Avenue,Jackson,Mississippi,45485
945,4331 Columbus Hill,Los Angeles,California,26359
946,9638 Weeping Birch Alley,Norfolk,Virginia,10316
947,191 Eggendart Drive,Green Bay,Wisconsin,62012
948,65510 Canary Parkway,Lake Charles,Louisiana,38018
949,819 Bobwhite Crossing,Nashville,Tennessee,76458
950,5505 Dayton Crossing,Sacramento,California,48399
951,62 Nevada Alley,Washington,District of Columbia,51031
952,4 Birchwood Road,Topeka,Kansas,28510
953,74169 David Place,North Little Rock,Arkansas,57606
954,27437 Tennyson Lane,Miami,Florida,34009
955,5 Melrose Way,Salt Lake City,Utah,34256
956,6 Dryden Court,Birmingham,Alabama,17255
957,30 Butternut Trail,Boulder,Colorado,85324
958,2 Hansons Parkway,Spokane,Washington,40758
959,889 Bluestem Court,Austin,Texas,30881
960,9 Vidon Lane,Atlanta,Georgia,84404
961,907 Kinsman Court,Albany,New York,64676
962,8 Butternut Court,Gary,Indiana,77459
963,74692 Valley Edge Hill,Garden Grove,California,28606
964,596 Meadow Vale Drive,Dallas,Texas,60867
965,5006 Westport Point,Springfield,Missouri,66655
966,68 Forest Park,Phoenix,Arizona,99451
967,858 Sachs Lane,Myrtle Beach,South Carolina,67343
968,0 Weeping Birch Drive,Boise,Idaho,99550
969,285 Knutson Center,Montgomery,Alabama,71557
970,24659 Pierstorff Trail,Richmond,Virginia,73013
971,0 Iowa Circle,Albany,New York,16759
972,6369 Rutledge Hill,Philadelphia,Pennsylvania,77059
973,9596 3rd Crossing,Sioux Falls,South Dakota,92004
974,565 Carey Circle,New York City,New York,88122
975,7179 Orin Plaza,Des Moines,Iowa,85670
976,52466 Little Fleur Alley,Albuquerque,New Mexico,41864
977,3 Nova Center,Cincinnati,Ohio,99767
978,08 Goodland Road,Harrisburg,Pennsylvania,17701
979,66 Clove Road,Milwaukee,Wisconsin,46677
980,1092 Golden Leaf Junction,Fort Worth,Texas,78160
981,40 Ridgeway Way,Chandler,Arizona,68871
982,70 Leroy Point,Topeka,Kansas,78624
983,742 Truax Plaza,Atlanta,Georgia,33330
984,7 Rutledge Trail,Pensacola,Florida,83121
985,32 Mayer Street,Cincinnati,Ohio,45161
986,95436 Shelley Terrace,Charlotte,North Carolina,59302
987,7 Sage Crossing,Syracuse,New York,44130
988,11697 Kenwood Place,Staten Island,New York,45423
989,90051 Northwestern Point,Phoenix,Arizona,69974
990,225 Graceland Circle,Prescott,Arizona,52723
991,5570 Melody Court,Des Moines,Iowa,81873
992,721 8th Plaza,Los Angeles,California,59721
993,278 Marquette Terrace,Baltimore,Maryland,34402
994,45636 Pond Trail,Kansas City,Missouri,53679
995,864 Holmberg Alley,Tulsa,Oklahoma,62488
996,498 Mitchell Lane,Allentown,Pennsylvania,12622
997,120 Briar Crest Lane,Minneapolis,Minnesota,61650
998,9384 Monterey Plaza,Phoenix,Arizona,45746
999,80 Pankratz Terrace,Winter Haven,Florida,10453
1000,05849 Gina Parkway,Washington,District of Columbia,15236
